date,Markowitz,Black-Litterman,DNN-only,DNN+RL
2022-09-30,0.9868084063529968,0.988444375038147,0.9879268685422218,0.9877475289429124
2022-10-03,1.0128994799799078,1.0145977686213663,1.0088167052142023,1.0098775232264317
2022-10-04,1.0477902753724375,1.051302210307676,1.0322596199267111,1.0339515341435874
2022-10-05,1.0432307195254915,1.0456638766233413,1.024954440691746,1.0273976253035215
2022-10-06,1.0344328975939463,1.037829719372788,1.0136650173686836,1.0177409054273938
2022-10-07,1.0049490231966884,1.007933271736903,0.9947834478332616,0.9962906324230784
2022-10-10,0.9981040409501356,1.0014833027789845,0.9853443449694244,0.9870012751310268
2022-10-11,0.9944307179369924,0.9991257374507084,0.9810184837799076,0.9839955877623678
2022-10-12,0.9913717255489904,0.9961633442557414,0.9803075233864692,0.9831527886114496
2022-10-13,1.0168849809991656,1.0214733694410003,0.9935203279116924,0.9978823261419028
2022-10-14,0.9920881687412498,0.9957493760757334,0.9777218200414026,0.9799452715495044
2022-10-17,1.020040556792171,1.0250388092986151,0.9932448199161492,0.9971974838876466
2022-10-18,1.0320672133317803,1.0371452189721897,1.0006296420254304,1.0055436246760765
2022-10-19,1.0206629221010528,1.023629641906158,0.9885091479158384,0.9930690807326348
2022-10-20,1.010329349525449,1.0123758889046923,0.9793690191672828,0.982589456924462
2022-10-21,1.0338353886869922,1.0354052883293,0.9884454178099382,0.9932655328513428
2022-10-24,1.0431975759337635,1.0431350382496094,0.9906394615526664,0.9966967210503904
2022-10-25,1.0645726223951844,1.0668668786663682,1.0123315498081804,1.0188177100160316
2022-10-26,1.0618635525098103,1.0668135137526318,1.016801927904194,1.0218908740364974
2022-10-27,1.058556089815391,1.0646775741916366,1.0151346055794064,1.0212226562099582
2022-10-28,1.0832891233933708,1.0893270081206023,1.0253659618890525,1.0342516487851403
2022-10-31,1.0789963783520862,1.0853246709637896,1.0199480141748931,1.0278915394441464
2022-11-01,1.0767519893061053,1.0834896474175577,1.0262233767746944,1.0327509269809123
2022-11-02,1.046250565999491,1.0522037328398788,1.0099337630242622,1.0150053127867449
2022-11-03,1.0369808816321462,1.0431376993156507,1.0039548539395782,1.0076761756941668
2022-11-04,1.051535833797366,1.0577158408304026,0.9992559964064291,1.0159433761884202
2022-11-07,1.0594776130966923,1.0653432532009204,0.9950863943111335,1.0156919922163463
2022-11-08,1.0630727051979416,1.0685965505298924,1.0017703089653047,1.0232834076859558
2022-11-09,1.0382566990631903,1.0431548086190388,0.9927442818232312,1.0109316298090123
2022-11-10,1.0980560741801395,1.1037036061109171,1.0401058762589834,1.062250634233616
2022-11-11,1.1080339420588692,1.113622039081415,1.0412302945354652,1.069269745431939
2022-11-14,1.097422195169028,1.1027546862469852,1.0350413440453716,1.061385133110453
2022-11-15,1.1095464971111522,1.115408915542745,1.0512280544985575,1.0746412780806958
2022-11-16,1.0966586359900974,1.1016988951024895,1.0576224864710693,1.0767010432350224
2022-11-17,1.0905741512652587,1.095121539640246,1.0469999000478347,1.0693891762945904
2022-11-18,1.0963651379079926,1.1010796123502022,1.0453870279827222,1.0696744766698147
2022-11-21,1.0916816403069716,1.0962572988272865,1.045846002871531,1.0675650351814898
2022-11-22,1.1051553833417176,1.1095802416001777,1.059214681286771,1.081593017323351
2022-11-23,1.110482589244023,1.1146500786355624,1.0714006766072546,1.092943985681227
2022-11-25,1.1112688593068054,1.1156154364597326,1.070123837863078,1.0933088802002064
2022-11-28,1.091671302064547,1.0956237244408629,1.0633070511655929,1.0830033039472249
2022-11-29,1.0918189298861192,1.096116118907059,1.0570656072290083,1.0794603666752196
2022-11-30,1.1217626771451856,1.128197657715708,1.0844795598080628,1.1018802683648672
2022-12-01,1.1230704321191811,1.1272432860970156,1.0860653435247565,1.1106494489143202
2022-12-02,1.1233697319166491,1.1287982520833737,1.086176662933353,1.1155173527573008
2022-12-05,1.1022503627935745,1.1048217607789732,1.0661471827368714,1.093606033090928
2022-12-06,1.088460913456762,1.0889740560243608,1.0530975078276612,1.086313294399744
2022-12-07,1.0867382445171094,1.0867074178351246,1.0515082103143656,1.0896930628824228
2022-12-08,1.0945096186755945,1.0948709108009709,1.058971708309262,1.0949067009135591
2022-12-09,1.0871760180138734,1.08514635048116,1.052216659844501,1.0833374594079168
2022-12-12,1.099699972913227,1.0992591600254102,1.064107522575907,1.0918605021242034
2022-12-13,1.1096947807389397,1.108150989087471,1.0739356090193484,1.102985704983095
2022-12-14,1.1038428391703698,1.1012414435345512,1.068424442104208,1.0998796584844548
2022-12-15,1.0764719498463229,1.0740308791588895,1.0419180880108505,1.0783187998770956
2022-12-16,1.0653360546212756,1.0631625201546004,1.0311050102560946,1.068551645212371
2022-12-19,1.0566186014130892,1.052465121612124,1.022953173659294,1.057518936828827
2022-12-20,1.0594335207294734,1.0555020044957288,1.0256450291386865,1.0575858407805816
2022-12-21,1.0747226307012494,1.071960364936191,1.040270971978019,1.0704439385104505
2022-12-22,1.0610076072933343,1.0573871964018349,1.0271233612314088,1.0604681595771643
2022-12-23,1.066368511427596,1.062917534180963,1.032286188307358,1.0612356271961574
2022-12-27,1.0628179047532955,1.0578966970256234,1.029061117839928,1.0543713207592926
2022-12-28,1.0493847264041354,1.0436434351415416,1.016181068580784,1.0418316048049303
2022-12-29,1.0692546686521818,1.0650948219083871,1.035179796157309,1.0616489523570931
